accented,base,modifier
á,a,s
à,a,f
ả,a,r
ã,a,x
ạ,a,j
ă,a,w
ắ,ă,s
ằ,ă,f
ẳ,ă,r
ẵ,ă,x
ặ,ă,j
â,a,a
ấ,â,s
ầ,â,f
ẩ,â,r
ẫ,â,x
ậ,â,j
é,e,s
è,e,f
ẻ,e,r
ẽ,e,x
ẹ,e,j
ê,e,e
ế,ê,s
ề,ê,f
ể,ê,r
ễ,ê,x
ệ,ê,j
í,i,s
ì,i,f
ỉ,i,r
ĩ,i,x
ị,i,j
ó,o,s
ò,o,f
ỏ,o,r
õ,o,x
ọ,o,j
ô,o,o
ố,ô,s
ồ,ô,f
ổ,ô,r
ỗ,ô,x
ộ,ô,j
ơ,o,w
ớ,ơ,s
ờ,ơ,f
ở,ơ,r
ỡ,ơ,x
ợ,ơ,j
ú,u,s
ù,u,f
ủ,u,r
ũ,u,x
ụ,u,j
ư,u,w
ứ,ư,s
ừ,ư,f
ử,ư,r
ữ,ư,x
ự,ư,j
iê,ie,e
iế,iê,s
iề,iê,f
iể,iê,r
iễ,iê,x
iệ,iê,j
óa,oa,s
òa,oa,f
ỏa,oa,r
õa,oa,x
ọa,oa,j
oă,oa,w
oắ,oă,s
oằ,oă,f
oẳ,oă,r
oẵ,oă,x
oặ,oă,j
óe,oe,s
òe,oe,f
ỏe,oe,r
õe,oe,x
ọe,oe,j
oo,ô,o
óo,oo,s
òo,oo,f
ỏo,oo,r
õo,oo,x
ọo,oo,j
uâ,ua,a
uấ,uâ,s
uầ,uâ,f
uẩ,uâ,r
uẫ,uâ,x
uậ,uâ,j
uê,ue,e
uế,uê,s
uề,uê,f
uể,uê,r
uễ,uê,x
uệ,uê,j
uô,uo,o
uố,uô,s
uồ,uô,f
uổ,uô,r
uỗ,uô,x
uộ,uô,j
úy,uy,s
ùy,uy,f
ủy,uy,r
ũy,uy,x
ụy,uy,j
ươ,uo,w
ươ,ưo,w
ươ,uơ,w
ướ,ươ,s
ườ,ươ,f
ưở,ươ,r
ưỡ,ươ,x
ượ,ươ,j
uyê,uye,e
uyế,uyê,s
uyề,uyê,f
uyể,uyê,r
uyễ,uyê,x
uyệ,uyê,j
yê,ye,e
yế,yê,s
yề,yê,f
yể,yê,r
yễ,yê,x
yệ,yê,j
